                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.0065,                0.77887,                 1.2647,                0.86394,                0.74459,                0.84029,                0.56881,                 1.1904,                 0.8274,                  1.304,                0.00123,                0.00123,                0.00123
                     37,                0.99446,                0.76157,                 1.2557,                0.84749,                0.76081,                0.84331,                0.53731,                  1.235,                0.85757,                 1.3177,               0.001208,               0.001208,               0.001208
                     38,                 1.0502,                0.76054,                 1.2597,                0.82507,                0.75208,                0.83456,                0.54354,                 1.2709,                0.87291,                  1.362,               0.001186,               0.001186,               0.001186
                     39,                0.97877,                0.73223,                 1.2348,                 0.8695,                0.72973,                0.82501,                 0.5555,                 1.2225,                0.86405,                 1.3254,               0.001164,               0.001164,               0.001164
                     40,                 1.0071,                0.73676,                 1.2388,                0.88362,                0.70811,                0.80957,                0.53499,                  1.261,                0.92487,                 1.3626,               0.001142,               0.001142,               0.001142
                     41,                0.96822,                0.73362,                 1.2308,                0.84543,                0.72433,                0.80522,                0.52729,                 1.2489,                0.90479,                 1.3614,                0.00112,                0.00112,                0.00112
                     42,                0.97235,                0.74954,                 1.2333,                0.84052,                0.75495,                0.83849,                0.54917,                 1.2657,                0.83227,                 1.3562,               0.001098,               0.001098,               0.001098
                     43,                 0.9813,                0.71315,                 1.2226,                0.83612,                0.75541,                0.84349,                0.55886,                 1.2244,                0.80153,                  1.323,               0.001076,               0.001076,               0.001076
                     44,                0.95154,                0.69998,                 1.2188,                0.87402,                 0.7527,                0.84826,                0.56554,                 1.2292,                 0.8017,                 1.3071,               0.001054,               0.001054,               0.001054
                     45,                0.96451,                0.69796,                 1.2201,                0.86913,                   0.75,                0.85006,                  0.568,                 1.2181,                0.84382,                 1.3179,               0.001032,               0.001032,               0.001032
                     46,                0.96066,                0.69879,                 1.2193,                0.83034,                0.78649,                0.84474,                0.56471,                 1.2257,                0.80461,                 1.3362,                0.00101,                0.00101,                0.00101
                     47,                0.96143,                  0.713,                 1.2149,                0.85536,                0.77432,                0.85854,                0.56158,                 1.2509,                0.81829,                 1.3493,               0.000988,               0.000988,               0.000988
                     48,                0.95377,                0.66725,                 1.2138,                0.88805,                0.74324,                0.84904,                0.56409,                 1.2172,                0.81656,                 1.3132,               0.000966,               0.000966,               0.000966
                     49,                0.98292,                0.71705,                 1.2212,                0.83174,                0.76351,                 0.8404,                0.55757,                 1.2549,                0.82702,                 1.3237,               0.000944,               0.000944,               0.000944
                     50,                 0.9709,                 0.6892,                 1.2274,                 0.8722,                0.73649,                0.84116,                0.55975,                 1.2193,                0.81363,                 1.3276,               0.000922,               0.000922,               0.000922
                     51,                 0.9358,                0.68289,                 1.2062,                 0.8608,                0.73784,                0.84791,                 0.5649,                 1.2176,                0.78473,                 1.3216,                 0.0009,                 0.0009,                 0.0009
                     52,                0.97127,                0.68567,                 1.2168,                0.89995,                0.71715,                 0.8443,                0.57685,                 1.1976,                0.84413,                 1.3066,               0.000878,               0.000878,               0.000878
                     53,                0.92632,                0.67087,                 1.1888,                0.84191,                0.78243,                0.85938,                0.57402,                 1.2108,                0.79238,                 1.3215,               0.000856,               0.000856,               0.000856
                     54,                0.95645,                0.65994,                  1.204,                 0.8775,                0.76472,                0.86347,                0.57474,                 1.2154,                0.75797,                 1.3088,               0.000834,               0.000834,               0.000834
                     55,                0.93563,                0.65124,                 1.2003,                0.87795,                0.75811,                0.85464,                0.57719,                 1.1979,                0.78595,                 1.2966,               0.000812,               0.000812,               0.000812
                     56,                 0.9084,                0.64644,                 1.1761,                0.86711,                0.76216,                0.85621,                0.58151,                 1.1877,                0.76066,                 1.3008,                0.00079,                0.00079,                0.00079
                     57,                0.93532,                0.66713,                 1.2094,                0.84084,                0.75946,                0.84182,                0.56513,                 1.1992,                0.80309,                 1.3012,               0.000768,               0.000768,               0.000768
                     58,                0.95361,                0.66011,                 1.1923,                0.86115,                0.77109,                0.85648,                0.56818,                 1.2065,                0.79941,                  1.305,               0.000746,               0.000746,               0.000746
